Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Score	Tags
17415	Channel 1	3	68917.2	68919.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	517.2	0.62	narw
17416	Channel 1	1	68917.3	68918.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	517.3	0.62	narw
17417	Channel 1	1	68918.2	68920.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	518.2	0.43	narw
17418	Channel 1	1	68926.1	68928.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	526.1	0	narw
17419	Channel 1	1	68930.1	68932.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	530.1	0.4	narw
17420	Channel 1	1	68930.5	68932.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	530.5	0.13	narw
17421	Channel 1	1	68931	68932.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	531	0.29	narw
17422	Channel 1	3	68931.9	68933.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	531.9	0.54	narw
17423	Channel 1	3	68932.2	68934.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	532.2	0.35	narw
17424	Channel 1	3	68932.5	68934.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	532.5	0.72	narw
17425	Channel 1	3	68932.7	68934.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	532.7	0.39	narw
17426	Channel 1	3	68934.3	68936.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	534.3	0.11	narw
17427	Channel 1	1	68943.2	68945.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	543.2	0.34	narw
17428	Channel 1	1	68943.5	68945.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	543.5	0.12	narw
17429	Channel 1	5	68943.5	68945.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	543.5	0.04	narw
17430	Channel 1	1	68945.2	68947.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	545.2	0.17	narw
17431	Channel 1	3	68945.9	68948.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	545.9	0.01	narw
17432	Channel 1	4	68946.3	68947.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	546.3	0.37	narw
17433	Channel 1	5	68946.4	68948.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	546.4	0.2	narw
17434	Channel 1	5	68946.7	68948.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	546.7	0.03	narw
17435	Channel 1	4	68946.9	68948.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	546.9	0.53	narw
17436	Channel 1	5	68947	68949.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	547	0.22	narw
17437	Channel 1	2	68953.6	68955.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	553.6	0.57	narw
17438	Channel 1	3	68953.8	68955.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	553.8	0.25	narw
17439	Channel 1	5	68959.8	68961.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	559.8	0.07	narw
17440	Channel 1	5	68960.1	68962.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	560.1	0.34	narw
17441	Channel 1	5	68960.9	68962.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	560.9	0.59	narw
17442	Channel 1	5	68961.5	68963.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	561.5	0.18	narw
17443	Channel 1	3	68962.7	68964.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	562.7	0.47	narw
17444	Channel 1	3	68963	68965.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	563	0.24	narw
17445	Channel 1	2	68963	68964.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	563	0.5	narw
17446	Channel 1	2	68963.3	68965.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	563.3	0.86	narw
17447	Channel 1	3	68963.4	68965.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	563.4	0.34	narw
17448	Channel 1	2	68963.6	68965.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	563.6	0.58	narw
17449	Channel 1	3	68969.3	68970.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	569.3	0.6	narw
17450	Channel 1	4	68970.7	68972.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	570.7	0.17	narw
17451	Channel 1	3	68970.9	68973.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	570.9	0.13	narw
17452	Channel 1	1	68972.2	68974.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	572.2	0.29	narw
17453	Channel 1	1	68972.9	68974.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	572.9	0.23	narw
17454	Channel 1	1	68982.9	68985.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	582.9	0.19	narw
17455	Channel 1	1	68985.7	68987.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	585.7	0.45	narw
17456	Channel 1	4	68986.4	68988.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	586.4	0.08	narw
17457	Channel 1	5	68986.7	68988.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	586.7	0	narw
17458	Channel 1	4	68987	68988.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	587	0.3	narw
17459	Channel 1	1	68988.1	68990.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	588.1	0.35	narw
17460	Channel 1	1	68988.4	68990.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	588.4	0.59	narw
17461	Channel 1	1	68988.6	68990.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	588.6	0.7	narw
17462	Channel 1	1	68989	68991.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	589	0.1	narw
17463	Channel 1	1	68990.1	68992.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	590.1	0.23	narw
17464	Channel 1	1	69003.8	69005.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	603.8	0.65	narw
17465	Channel 1	1	69004.1	69006.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	604.1	0.15	narw
17466	Channel 1	2	69006.9	69009.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	606.9	0.03	narw
17467	Channel 1	2	69007.2	69009.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	607.2	0.13	narw
17468	Channel 1	3	69013.3	69015.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	613.3	0.23	narw
17469	Channel 1	3	69014.5	69015.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	614.5	0.24	narw
17470	Channel 1	2	69020.9	69022.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	620.9	0.25	narw
17471	Channel 1	1	69027.7	69029.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	627.7	0.48	narw
17472	Channel 1	4	69035.5	69037.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	635.5	0.19	narw
17473	Channel 1	4	69035.8	69037.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	635.8	0.42	narw
17474	Channel 1	4	69036	69038.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	636	0.01	narw
17475	Channel 1	4	69039.5	69041.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	639.5	0.31	narw
17476	Channel 1	5	69041.3	69043.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	641.3	0.21	narw
17477	Channel 1	3	69043.3	69045.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	643.3	0.62	narw
17478	Channel 1	3	69047.3	69049.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	647.3	0.16	narw
17479	Channel 1	5	69047.9	69050.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	647.9	0.12	narw
17480	Channel 1	2	69051.5	69053.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	651.5	0.12	narw
17481	Channel 1	2	69051.8	69053.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	651.8	0.08	narw
17482	Channel 1	2	69052.1	69054.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	652.1	0.04	narw
17483	Channel 1	2	69055.1	69057.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	655.1	0.07	narw
17484	Channel 1	2	69055.7	69057.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	655.7	0.01	narw
17485	Channel 1	1	69056.6	69058.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	656.6	0.36	narw
17486	Channel 1	4	69056.9	69059.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	656.9	0.06	narw
17487	Channel 1	4	69061.7	69063.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	661.7	0.38	narw
17488	Channel 1	4	69063.9	69065.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	663.9	0.35	narw
17489	Channel 1	4	69064.3	69066.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	664.3	0.63	narw
17490	Channel 1	3	69069.6	69071.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	669.6	0.21	narw
17491	Channel 1	1	69069.8	69071.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	669.8	0.48	narw
17492	Channel 1	3	69069.9	69072.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	669.9	0.01	narw
17493	Channel 1	1	69070	69072.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	670	0.08	narw
17494	Channel 1	1	69070.8	69072.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	670.8	0.5	narw
17495	Channel 1	1	69074.8	69076.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	674.8	0.54	narw
17496	Channel 1	1	69083.7	69085.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	683.7	0.57	narw
17497	Channel 1	1	69084.3	69086.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	684.3	0.58	narw
17498	Channel 1	5	69085.7	69087.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	685.7	0.54	narw
17499	Channel 1	5	69086	69088.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	686	0.15	narw
17500	Channel 1	3	69087.9	69090.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	687.9	0.13	narw
17501	Channel 1	3	69088.2	69090.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	688.2	0.18	narw
17502	Channel 1	3	69088.5	69090.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	688.5	0.5	narw
17503	Channel 1	3	69094	69096.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	694	0.08	narw
17504	Channel 1	3	69094.4	69096.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	694.4	0.26	narw
17505	Channel 1	3	69094.8	69096.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	694.8	0.62	narw
17506	Channel 1	3	69095	69097.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	695	0.15	narw
17507	Channel 1	2	69096.2	69098.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	696.2	0.07	narw
17508	Channel 1	2	69100.9	69103.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	700.9	0.37	narw
17509	Channel 1	4	69104.6	69106.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	704.6	0.43	narw
17510	Channel 1	1	69108.6	69109.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	708.6	0.71	narw
17511	Channel 1	5	69112.4	69114.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	712.4	0.18	narw
17512	Channel 1	5	69112.8	69114.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	712.8	0.34	narw
17513	Channel 1	4	69113.1	69115.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	713.1	0.33	narw
17514	Channel 1	5	69113.2	69115.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	713.2	0.28	narw
17515	Channel 1	4	69113.4	69115.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	713.4	0.28	narw
17516	Channel 1	4	69113.9	69115.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	713.9	0.35	narw
17517	Channel 1	3	69114.4	69116.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	714.4	0.09	narw
17518	Channel 1	4	69115.4	69117.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	715.4	0.4	narw
17519	Channel 1	4	69116.2	69118.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	716.2	0.07	narw
17520	Channel 1	3	69116.4	69118.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	716.4	0.01	narw
17521	Channel 1	1	69121.6	69123.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	721.6	0.21	narw
17522	Channel 1	5	69126.7	69128.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	726.7	0.19	narw
17523	Channel 1	1	69127.1	69128.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	727.1	0.56	narw
17524	Channel 1	1	69131.5	69132.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	731.5	0.65	narw
17525	Channel 1	2	69132.5	69134.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	732.5	0.52	narw
17526	Channel 1	1	69132.7	69134.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	732.7	0.72	narw
17527	Channel 1	1	69133	69135.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	733	0.46	narw
17528	Channel 1	5	69133.2	69135.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	733.2	0.19	narw
17529	Channel 1	5	69133.5	69135.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	733.5	0.1	narw
17530	Channel 1	1	69133.5	69135.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	733.5	0.58	narw
17531	Channel 1	4	69134.4	69136.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	734.4	0.15	narw
17532	Channel 1	4	69134.7	69136.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	734.7	0.55	narw
17533	Channel 1	4	69135	69137.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	735	0.24	narw
17534	Channel 1	4	69135.3	69137.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	735.3	0.07	narw
17535	Channel 1	1	69136.4	69138.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	736.4	0.22	narw
17536	Channel 1	4	69141.6	69143.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	741.6	0.59	narw
17537	Channel 1	4	69141.9	69143.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	741.9	0.49	narw
17538	Channel 1	5	69142	69144.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	742	0.41	narw
17539	Channel 1	3	69142.1	69144.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	742.1	0.28	narw
17540	Channel 1	4	69142.2	69144.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	742.2	0.36	narw
17541	Channel 1	5	69142.3	69144.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	742.3	0.34	narw
17542	Channel 1	4	69142.5	69144.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	742.5	0.34	narw
17543	Channel 1	3	69142.6	69144.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	742.6	0.6	narw
17544	Channel 1	5	69142.6	69144.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	742.6	0.36	narw
17545	Channel 1	3	69142.9	69144.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	742.9	0.2	narw
17546	Channel 1	2	69144.3	69145.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	744.3	0.63	narw
17547	Channel 1	1	69157.3	69159.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	757.3	0.46	narw
17548	Channel 1	3	69157.4	69159.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	757.4	0.11	narw
17549	Channel 1	4	69158.9	69160.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	758.9	0.31	narw
17550	Channel 1	4	69159.6	69161.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	759.6	0.66	narw
17551	Channel 1	4	69162.6	69164.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	762.6	0.39	narw
17552	Channel 1	4	69163	69165.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	763	0.21	narw
17553	Channel 1	1	69167.9	69170.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	767.9	0.59	narw
17554	Channel 1	1	69168.7	69170.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	768.7	0.25	narw
17555	Channel 1	1	69171.3	69173.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	771.3	0.36	narw
17556	Channel 1	5	69171.4	69173.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	771.4	0.24	narw
17557	Channel 1	1	69171.9	69173.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	771.9	0.52	narw
17558	Channel 1	5	69171.9	69174.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	771.9	0.5	narw
17559	Channel 1	1	69173.9	69175.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	773.9	0.11	narw
17560	Channel 1	3	69177.7	69179.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	777.7	0.38	narw
17561	Channel 1	3	69177.9	69180.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	777.9	0.1	narw
17562	Channel 1	4	69179.5	69181.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	779.5	0.04	narw
17563	Channel 1	2	69181.2	69183.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	781.2	0.19	narw
17564	Channel 1	5	69181.6	69183.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	781.6	0.23	narw
17565	Channel 1	3	69183.5	69185.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	783.5	0.25	narw
17566	Channel 1	3	69183.8	69185.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	783.8	0.36	narw
17567	Channel 1	3	69184.3	69186.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	784.3	0.4	narw
17568	Channel 1	5	69185	69187.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	785	0.3	narw
17569	Channel 1	4	69185.5	69187.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	785.5	0.53	narw
17570	Channel 1	4	69185.9	69188.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	785.9	0.1	narw
17571	Channel 1	3	69187.7	69188.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	787.7	0.6	narw
17572	Channel 1	3	69189.1	69190.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	789.1	0.58	narw
17573	Channel 1	5	69189.2	69191.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	789.2	0.4	narw
17574	Channel 1	3	69189.7	69191.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	789.7	0.63	narw
17575	Channel 1	3	69189.9	69192.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	789.9	0.31	narw
17576	Channel 1	4	69191.3	69193.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	791.3	0.2	narw
17577	Channel 1	4	69192	69194.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	792	0.4	narw
17578	Channel 1	4	69192.4	69194.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	792.4	0.27	narw
17579	Channel 1	3	69204.4	69206.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	804.4	0.16	narw
17580	Channel 1	2	69207.6	69209.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	807.6	0.45	narw
17581	Channel 1	2	69213.7	69215.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	813.7	0.43	narw
17582	Channel 1	2	69218.9	69220.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	818.9	0.14	narw
17583	Channel 1	1	69220.5	69222.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	820.5	0.32	narw
17584	Channel 1	1	69221.4	69222.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	821.4	0.38	narw
17585	Channel 1	1	69221.7	69223.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	821.7	0.41	narw
17586	Channel 1	3	69222.3	69224.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	822.3	0.3	narw
17587	Channel 1	2	69225.1	69227.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	825.1	0.01	narw
17588	Channel 1	1	69227.5	69229.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	827.5	0.46	narw
17589	Channel 1	1	69228.4	69229.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	828.4	0.67	narw
17590	Channel 1	1	69229.6	69231.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	829.6	0.16	narw
17591	Channel 1	4	69229.7	69230.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	829.7	0.48	narw
17592	Channel 1	1	69232	69233.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	832	0.5	narw
17593	Channel 1	4	69235.6	69237.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	835.6	0.27	narw
17594	Channel 1	4	69236.6	69238.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	836.6	0.38	narw
17595	Channel 1	2	69237.2	69239.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	837.2	0.16	narw
17596	Channel 1	2	69237.6	69239.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	837.6	0.02	narw
17597	Channel 1	3	69240.5	69242.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	840.5	0.28	narw
17598	Channel 1	1	69243	69245.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	843	0	narw
17599	Channel 1	5	69251	69253.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	851	0.16	narw
17600	Channel 1	4	69255.4	69257.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	855.4	0.09	narw
17601	Channel 1	2	69257.4	69259.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	857.4	0.01	narw
17602	Channel 1	1	69258.2	69259.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	858.2	0.3	narw
17603	Channel 1	1	69259.4	69261.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	859.4	0	narw
17604	Channel 1	3	69263.2	69265.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	863.2	0.12	narw
17605	Channel 1	5	69265.6	69267.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	865.6	0.57	narw
17606	Channel 1	4	69265.7	69267.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	865.7	0.32	narw
17607	Channel 1	5	69266.2	69268.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	866.2	0.65	narw
17608	Channel 1	4	69272.6	69274.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	872.6	0.03	narw
17609	Channel 1	4	69273	69274.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	873	0.14	narw
17610	Channel 1	4	69276.6	69278.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	876.6	0.28	narw
17611	Channel 1	1	69276.8	69278.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	876.8	0.18	narw
17612	Channel 1	1	69277.4	69279.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	877.4	0.3	narw
17613	Channel 1	3	69277.6	69279.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	877.6	0.18	narw
17614	Channel 1	4	69277.7	69279.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	877.7	0.47	narw
17615	Channel 1	3	69277.9	69279.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	877.9	0.45	narw
17616	Channel 1	4	69284.1	69286.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	884.1	0.42	narw
17617	Channel 1	5	69284.7	69286.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_190000Z.flac	884.7	0.24	narw
